key,english,swahili
"companyHome.activeJobs","Active Jobs","Ajira Amilifu"
"companyHome.employmentContracts","Employment contracts","Mikataba ya ajira"
"companyHome.hoursWorked","Hrs Worked","Hrs Ilifanya kazi"
"companyHome.activity","Activity","Shughuli"
"companyHome.seeAll","See all","Tazama zote"
"companyHome.noOneClockedIn","No one clocked in","Hakuna aliyeingia"
"companyHome.noShiftsToday","No shifts today","Hakuna zamu leo"
"companyHome.statusActive","ACTIVE","INAENDELEA"
"companyHome.filterAll","All","Wote"
"companyHome.filterLeaves","Leaves","Majani"
"companyHome.filterClockIns","Clock-Ins","Saa-Ins"
"companyHome.filterOvertime","Overtime","Saa za Ziada"
"companyHome.filterShifts","Shifts","Mabadiliko"
"companyHome.actionNewShift","New Shift","Shift Mpya"
"companyHome.actionHrDocs","HR Docs","Hati za HR"
"companyHome.actionReviewLeaves","Review Leaves","Kagua Majani"
"companyHome.actionActiveJobs","Active Jobs","Ajira Amilifu"
"companyHome.actionReports","Reports","Ripoti"
"companyHome.greetingMorning","Good Morning","Habari za Asubuhi"
"companyHome.greetingAfternoon","Good Afternoon","Mchana Mwema"
"companyHome.greetingEvening","Good Evening","Jioni Njema"
"companyHome.loadingDashboard","Loading Dashboard","Inapakia Dashibodi"
"companyHome.loadingDashboardHint","Fetching real-time workforce data and analytics...","Inaleta data na uchanganuzi wa wakati halisi..."
"companyHome.connectionError","Connection Error","Hitilafu ya Muunganisho"
"companyHome.tryAgain","Try Again","Jaribu Tena"
"companyHome.todaysRoster","Today's Roster","Orodha ya Leo"
"companyHome.employeesScheduled","{{count}} employees scheduled","{{count}} wafanyakazi wameratibiwa"
"companyHome.departmentBreakdown","Department Breakdown","Uchanganuzi wa Idara"
"companyHome.departmentsCount","{{count}} DEPTS","{{count}} DEPTS"
"companyHome.approvedLeavesSummary","{{approved}} approved · {{rejected}} rejected","{{approved}} imeidhinishwa · {{rejected}} imekataliwa"
"companyHome.thisYear","This year","Mwaka huu"
"companyHome.thisPeriodLower","This {{period}}","Hii {{period}}"
"companyHome.shiftEmployeeCount","{{shifts}} shift(s) · {{employees}} employee(s)","{{shifts}} zamu · {{employees}} mfanyakazi/wafanyakazi"
"yourRightsForm.pageTitle","New Report","Ripoti Mpya"
"yourRightsForm.stepEssentials","Essentials","Muhimu"
"yourRightsForm.stepTimeline","Timeline","Muda"
"yourRightsForm.stepResponse","Response","Jibu"
"yourRightsForm.stepFinalize","Finalize","Maliza"
"yourRightsForm.sectionDefineIssue","Define the Issue","Eleza tatizo"
"yourRightsForm.sectionOccurrence","Occurrence Details","Maelezo ya Matukio"
"yourRightsForm.sectionPreferences","Your Preferences","Mapendeleo yako"
"yourRightsForm.sectionFinalVerification","Final Verification","Uhakiki wa Mwisho"
"yourRightsForm.labelReportTitle","Report Title","Kichwa cha Ripoti"
"yourRightsForm.labelCategory","Category","Kitengo"
"yourRightsForm.labelDescription","Description","Maelezo"
"yourRightsForm.labelExpectedOutcome","Expected Outcome","Matokeo Yanayotarajiwa"
"yourRightsForm.labelDateOfIncident","Date of Incident","Tarehe ya Tukio"
"yourRightsForm.labelTimeOfIncident","Time of Incident","Muda wa Tukio"
"yourRightsForm.labelPreviousOccurrence","Has this occurred before?","Je, hii imetokea hapo awali?"
"yourRightsForm.labelPreviousDetails","Previous Details","Maelezo ya awali"
"yourRightsForm.labelUrgencyLevel","Urgency Level","Kiwango cha Dharura"
"yourRightsForm.labelPreferredContact","Preferred Contact Method","Mbinu ya Mawasiliano Inayopendekezwa"
"yourRightsForm.labelPreferredResolution","Preferred Resolution Method","Mbinu ya Azimio Inayopendekezwa"
"yourRightsForm.labelAttachments","Attachments (Optional)","Viambatisho (Sio lazima)"
"yourRightsForm.labelSpecifyIssue","Specify Issue","Bainisha Suala"
"yourRightsForm.placeholderReportTitle","e.g. Overtime Payment Error","k.m. Hitilafu ya Malipo ya Muda wa ziada"
"yourRightsForm.placeholderSelectCategory","Select a category","Chagua kategoria"
"yourRightsForm.placeholderSelectDate","Select date","Chagua tarehe"
"yourRightsForm.placeholderSelectTime","Select time","Chagua Muda"
"yourRightsForm.placeholderSelectMethod","Select method","Chagua mbinu"
"yourRightsForm.placeholderDescribeIssue","Describe your issue...","Eleza suala lako..."
"yourRightsForm.placeholderDetailedDescription","Detailed description...","Maelezo ya kina..."
"yourRightsForm.placeholderExpectedOutcome","Resolution you're hoping for...","Azimio unalotarajia..."
"yourRightsForm.placeholderPreviousDetails","Details of before...","Maelezo ya hapo awali..."
"yourRightsForm.categoryPayroll","Payroll Discrepancy","Tofauti ya Mishahara"
"yourRightsForm.categoryAttendance","Attendance Tracking Error","Hitilafu ya Kufuatilia Waliohudhuria"
"yourRightsForm.categoryExpense","Expense Entry Issue","Suala la Kuingia kwa Gharama"
"yourRightsForm.categoryPerformance","App Performance Problem","Tatizo la Utendaji wa Programu"
"yourRightsForm.categoryOther","Other (Specify Below)","Nyingine (Bainisha Hapo Chini)"
"yourRightsForm.urgencyLow","LOW","CHINI"
"yourRightsForm.urgencyMedium","MEDIUM","KATI"
"yourRightsForm.urgencyHigh","HIGH","JUU"
"yourRightsForm.contactEmail","Email","Barua pepe"
"yourRightsForm.contactPhone","Phone","Simu"
"yourRightsForm.contactInApp","In-App","Ndani ya Programu"
"yourRightsForm.contactPhoneCall","Phone Call","Simu"
"yourRightsForm.contactInAppNotification","In-App Notification","Arifa ya Ndani ya Programu"
"yourRightsForm.yes","YES","NDIYO"
"yourRightsForm.no","NO","HAPANA"
"yourRightsForm.uploadProof","Upload proof","Pakia uthibitisho"
"yourRightsForm.chooseFile","Choose File","Chagua Faili"
"yourRightsForm.agreeToTerms","I agree to the terms","Ninakubali masharti"
"yourRightsForm.infoIsAccurate","Info is accurate","Taarifa ni sahihi"
"yourRightsForm.routeToKontokazLabel","Send this to Kiruko instead of my employer","Tuma hii kwa Kiruko badala ya mwajiri wangu"
"yourRightsForm.routeToKontokazHelp","Kiruko's compliance team (independent lawyers) will handle this report. Your employer will not see it.","Timu ya kufuata ya Kiruko (mawakili wa kujitegemea) itashughulikia ripoti hii. Mwajiri wako hataiona."
"yourRightsForm.anonymousLabel","File anonymously","Faili bila kujulikana"
"yourRightsForm.anonymousHelp","Your employer will see the report's contents but not your name. Only available for reports sent to your employer — Kiruko reports are already private.","Mwajiri wako ataona yaliyomo kwenye ripoti lakini si jina lako. Inapatikana tu kwa ripoti zinazotumwa kwa mwajiri wako - ripoti za Kiruko tayari ni za faragha."
"yourRightsForm.anonymousDisclosure","Anonymous to your employer — Kiruko still sees your name. Kiruko lawyers are bound by professional confidentiality and will not share your identity with your employer.","Bila jina kwa mwajiri wako - Kiruko bado analiona jina lako. Wanasheria wa Kiruko wanafungwa na usiri wa kitaalamu na hawatashiriki utambulisho wako na mwajiri wako."
"yourRightsForm.pinPreviewWarning","After you submit, you'll see a one-time PIN that lets you return to this case from any device. Save it — we cannot recover it for you.","Baada ya kuwasilisha, utaona PIN ya mara moja inayokuruhusu kurudi kwenye kesi hii kutoka kwa kifaa chochote. Ihifadhi - hatuwezi kuirejesha kwa ajili yako."
"concernPin.pageTitle","Save your case access","Hifadhi ufikiaji wa kesi yako"
"concernPin.intro","Use this case ID and PIN to return to your concern from any device. We do not store the PIN — if you lose it, you cannot recover it.","Tumia Kitambulisho cha kesi hii na PIN ili kurudi kwenye hoja yako kutoka kwa kifaa chochote. Hatuhifadhi PIN — ukiipoteza, huwezi kuirejesha."
"concernPin.caseIdLabel","Case ID","Kitambulisho cha kesi"
"concernPin.pinLabel","PIN","PIN"
"concernPin.shareTitle","My concern access","Wasiwasi wangu ufikiaji"
"concernPin.shareSubject","Your Kiruko case access","Ufikiaji wa kesi yako ya Kiruko"
"concernPin.shareAction","Save / share","Hifadhi / shiriki"
"concernPin.copiedToast","Copied to clipboard","Imenakiliwa kwenye ubao wa kunakili"
"concernPin.shownOnceWarning","This PIN is shown ONCE. After this screen it is gone forever.","PIN hii inaonyeshwa MARA MOJA. Baada ya skrini hii imekwenda milele."
"concernPin.ackCheckbox","I have saved my case ID and PIN","Nimehifadhi kitambulisho cha kesi yangu na PIN"
"concernPin.continueAction","Continue","Endelea"
"concernPin.portalUrlLabel","Reporter portal","Portal ya mwandishi"
"concernThread.pageTitle","Report thread","Ripoti thread"
"concernThread.emptyTitle","No messages yet","Bado hakuna ujumbe"
"concernThread.emptyBody","When your handler responds, the conversation will appear here.","Wakati kidhibiti chako kinajibu, mazungumzo yataonekana hapa."
"concernThread.composerPlaceholder","Write a reply…","Andika jibu..."
"concernThread.sendAction","Send","Tuma"
"concernThread.sendingAction","Sending…","Inatuma..."
"concernThread.errorLoad","Could not load the conversation.","Haikuweza kupakia mazungumzo."
"concernThread.errorSend","Could not send your message. Try again.","Haikuweza kutuma ujumbe wako. Jaribu tena."
"concernThread.retryAction","Retry","Jaribu tena"
"concernThread.authorReporter","You","Wewe"
"concernThread.authorEmployer","Your employer","Mwajiri wako"
"concernThread.authorKontokaz","Kiruko Compliance","Kiruko Compliance"
"concernThread.authorSystem","System","Mfumo"
"concernHistory.destinationEmployer","Sent to your employer","Imetumwa kwa mwajiri wako"
"concernHistory.destinationKontokaz","Sent to Kiruko Compliance","Imetumwa kwa Uzingatiaji wa Kiruko"
"concernHistory.anonymousBadge","Anonymous","Asiyejulikana"
"concernHistory.viewThreadAction","View thread","Tazama thread"
"concernHistory.escalatedBadge","Auto-escalated to Kiruko","Imepandishwa kiotomatiki hadi Kiruko"
"concernHistory.attachmentBadgeClean","Attachment scanned · clean","Kiambatisho kimechanganuliwa · safi"
"concernHistory.attachmentBadgeSkipped","Scan skipped","Uchanganuzi umerukwa"
"concernHistory.attachmentBadgeRejected","Attachment rejected — re-upload required","Kiambatisho kimekataliwa - pakia upya inahitajika"
"concernHistory.attachmentBadgePending","Scan pending","Uchanganuzi unasubiri"
"concernHistory.evidenceLabel","Evidence attachment","Kiambatisho cha ushahidi"
"concernHistory.openAttachment","Open attachment","Fungua kiambatisho"
"companyTimeLogs.greetingMorning","Good Morning","Habari za Asubuhi"
"companyTimeLogs.greetingAfternoon","Good Afternoon","Mchana Mwema"
"companyTimeLogs.greetingEvening","Good Evening","Jioni Njema"
"companyTimeLogs.subtitle","Time Logs","Kumbukumbu za Wakati"
"companyTimeLogs.activeStaff","Active Staff","Wafanyakazi hai"
"companyTimeLogs.activeStaffSubtitle","Currently working","Hivi sasa inafanya kazi"
"companyTimeLogs.totalHours","Hours","Masaa"
"companyTimeLogs.totalHoursSubtitle","Total tracked time","Jumla ya muda uliofuatiliwa"
"companyTimeLogs.totalStaff","Total Staff","Jumla ya Wafanyakazi"
"companyTimeLogs.totalStaffSubtitle","Appearing in logs","Kuonekana kwenye magogo"
"companyTimeLogs.filterToday","Today","Leo"
"companyTimeLogs.filterYesterday","Yesterday","Jana"
"companyTimeLogs.filterThisWeek","This Week","Wiki hii"
"companyTimeLogs.filterLastWeek","Last Week","Wiki Iliyopita"
"companyTimeLogs.filterThisMonth","This Month","Mwezi huu"
"companyTimeLogs.filterAllTime","All Time","Wakati Wote"
"companyTimeLogs.statusAll","All Status","Hali Yote"
"companyTimeLogs.dateToday","Today","Leo"
"companyTimeLogs.dateYesterday","Yesterday","Jana"
"companyTimeLogs.noMatching","No matching logs found","Hakuna kumbukumbu zinazolingana zilizopatikana"
"companyTimeLogs.noMatchingBody","Try a different filter or search term.","Jaribu kichujio tofauti au neno la utafutaji."
"companyTimeLogs.noActivity","No activity recorded","Hakuna shughuli iliyorekodiwa"
"companyTimeLogs.noActivityBody","Employee check-ins and check-outs will appear here chronologically.","Kuingia na kuondoka kwa wafanyikazi kutaonekana hapa kwa kufuatana."
"companyTimeLogs.workSession","WORK SESSION","KIKAO CHA KAZI"
"companyTimeLogs.breakTaken","Break Taken","Kuvunja Kuchukuliwa"
"companyTimeLogs.timeLog","TIME LOG","NEMBO YA WAKATI"
"companyTimeLogs.sessionTimeline","SESSION TIMELINE","RATIBA YA KIKAO"
"companyTimeLogs.clockIn","CLOCK IN","Ingiza Saa"
"companyTimeLogs.clockOut","CLOCK OUT","SAA NJE"
"companyTimeLogs.currentlyActive","Currently Active","Inatumika Kwa Sasa"
"companyTimeLogs.totalBreakTime","Total Break Time","Jumla ya Muda wa Mapumziko"
"companyTimeLogs.locationLabel","LOCATION","MAHALI"
"companyTimeLogs.searchPlaceholder","Search employee or ID...","Tafuta mfanyakazi au kitambulisho..."
"companyLeaves.greetingMorning","Good Morning","Habari za Asubuhi"
"companyLeaves.greetingAfternoon","Good Afternoon","Mchana Mwema"
"companyLeaves.greetingEvening","Good Evening","Jioni Njema"
"companyLeaves.title","Leave Requests","Acha Maombi"
"companyLeaves.statTotal","Total","Jumla"
"companyLeaves.statTotalSubtitle","Requests Received","Maombi Yamepokelewa"
"companyLeaves.statPending","Pending","Inasubiri"
"companyLeaves.statPendingSubtitle","Needs Action","Inahitaji Hatua"
"companyLeaves.statApproved","Approved","Imeidhinishwa"
"companyLeaves.statApprovedSubtitle","Total Granted","Jumla Imekubaliwa"
"companyLeaves.filterAll","All","Wote"
"companyLeaves.filterPending","Pending","Inasubiri"
"companyLeaves.filterApproved","Approved","Imeidhinishwa"
"companyLeaves.filterRejected","Rejected","Imekataliwa"
"companyLeaves.loading","Retrieving leave requests...","Inarejesha maombi ya likizo..."
"companyLeaves.noMatches","No matches found","Hakuna zinazolingana zilizopatikana"
"companyLeaves.noLeaveRequests","No leave requests","Hakuna maombi ya likizo"
"companyLeaves.actionApprove","Approve","Idhinisha"
"companyLeaves.actionReject","Reject","Kataa"
"companyLeaves.processingApprove","Approving...","Inaidhinisha..."
"companyLeaves.processingReject","Rejecting...","Inakataa..."
"companyLeaves.modalKicker","Leave Request","Acha Ombi"
"companyLeaves.modalTitleApprove","Approve Request","Idhinisha Ombi"
"companyLeaves.modalTitleReject","Reject Request","Kataa Ombi"
"companyLeaves.processing","Processing...","Inachakata..."
"companyLeaves.approvedToast","Leave request approved successfully","Ombi la kuondoka limeidhinishwa"
"companyLeaves.rejectedToast","Leave request rejected successfully","Acha ombi limekataliwa"
"companyLeaves.processFailedBody","Failed to process leave approval. Please try again.","Imeshindwa kuchakata idhini ya likizo. Tafadhali jaribu tena."
"companyLeaves.searchPlaceholder","Search employee or reason...","Tafuta mfanyakazi au sababu..."
"companyLeaves.rejectReasonPlaceholder","Why is this request being rejected?","Kwa nini ombi hili linakataliwa?"
"companyLeaves.approvalNotesPlaceholder","Add any internal notes about this approval...","Ongeza madokezo yoyote ya ndani kuhusu idhini hii..."
"companyEmployees.statTotal","Total Staff","Jumla ya Wafanyakazi"
"companyEmployees.statTotalSubtitle","Active team members","Wanachama wa timu hai"
"companyEmployees.statManagers","Managers","Wasimamizi"
"companyEmployees.statManagersSubtitle","Leadership team","Timu ya uongozi"
"companyEmployees.statDepartments","Departments","Idara"
"companyEmployees.statDepartmentsSubtitle","Across organization","Katika shirika"
"companyEmployees.teamSettingsTitle","Team Settings","Mipangilio ya Timu"
"companyEmployees.teamSettingsBody","Configure team permissions and roles","Sanidi ruhusa na majukumu ya timu"
"companyEmployees.greetingMorning","Good Morning","Habari za Asubuhi"
"companyEmployees.greetingAfternoon","Good Afternoon","Mchana Mwema"
"companyEmployees.greetingEvening","Good Evening","Jioni Njema"
"companyEmployees.teamMembers","Team Members","Wajumbe wa Timu"
"companyEmployees.loadingTeam","Loading your team...","Inapakia timu yako..."
"companyEmployees.loadingEmployees","Loading employees...","Inapakia wafanyikazi..."
"companyEmployees.unableToLoad","Unable to load team members","Imeshindwa kupakia washiriki wa timu"
"companyEmployees.connectionError","Connection Error","Hitilafu ya Muunganisho"
"companyEmployees.tryAgain","Try Again","Jaribu Tena"
"companyEmployees.noResults","No results found","Hakuna matokeo yaliyopatikana"
"companyEmployees.noTeamMembers","No team members yet","Bado hakuna washiriki wa timu"
"companyEmployees.noResultsBody","We couldn't find any employees matching ""{{query}}""","Hatukuweza kupata mfanyakazi yeyote anayelingana na ""{{query}}"""
"companyEmployees.noTeamMembersBody","Active employees will appear here.","Wafanyakazi wanaofanya kazi wataonekana hapa."
"companyEmployees.goToSettings","Go to Settings","Nenda kwa Mipangilio"
"companyEmployees.searchPlaceholder","Search by name, email, or role...","Tafuta kwa jina, barua pepe au jukumu..."
"companySchedule.employeesForbidden","You don't have permission to view this company's employees.","Huna ruhusa ya kuwatazama wafanyakazi wa kampuni hii."
"companySchedule.employeesLoadFailed","Could not load employees. Tap to retry.","Haikuweza kupakia wafanyikazi. Gusa ili kujaribu tena."
"companySchedule.emptyDay","No schedules for this day","Hakuna ratiba za siku hii"
"companySchedule.titleEdit","Edit Schedule","Badilisha Ratiba"
"companySchedule.titleNew","New Schedule","Ratiba Mpya"
"companySchedule.fieldTitle","Title *","Kichwa *"
"companySchedule.fieldLocation","Location *","Mahali *"
"companySchedule.fieldStart","Start Time *","Wakati wa Kuanza *"
"companySchedule.fieldEnd","End Time *","Wakati wa Mwisho *"
"companySchedule.fieldNotes","Notes (optional)","Vidokezo (si lazima)"
"companySchedule.noEmployees","No employees found","Hakuna wafanyikazi waliopatikana"
"companySchedule.actionSave","Save Changes","Hifadhi Mabadiliko"
"companySchedule.actionCreate","Create Schedule","Tengeneza Ratiba"
"companySchedule.total","Total","Jumla"
"companySchedule.draft","Draft","Rasimu"
"companySchedule.pending","Pending","Inasubiri"
"companySchedule.started","Started","Imeanza"
"companySchedule.completed","Completed","Imekamilika"
"companySchedule.all","All","Wote"
"companySchedule.inProgress","In Progress","Inaendelea"
"companySchedule.startTask","Start Task","Anza Kazi"
"companySchedule.viewLabel","View","Tazama"
"companySchedule.employeeLabel","Employee","Mfanyakazi"
"companySchedule.everyone","Everyone","Kila mtu"
"companySchedule.loadingSchedules","Loading schedules…","Inapakia ratiba..."
"companySchedule.noTasks","No tasks","Hakuna majukumu"
"companySchedule.viewList","List View","Mwonekano wa Orodha"
"companySchedule.viewKanban","Kanban Board","Bodi ya Kanban"
"companySchedule.dateAllTime","All Time","Wakati Wote"
"companySchedule.dateToday","Today","Leo"
"companySchedule.dateThisWeek","This Week","Wiki hii"
"companySchedule.dateNextWeek","Next Week","Wiki Ijayo"
"companySchedule.sortDateAsc","Date (oldest first)","Tarehe (mzee kwanza)"
"companySchedule.sortDateDesc","Date (newest first)","Tarehe (mpya zaidi kwanza)"
"companySchedule.sortTitle","Title A–Z","Kichwa A–Z"
"companySchedule.sortStatus","By Status","Kwa Hali"
"companySchedule.clearAll","Clear all","Futa zote"
"companySchedule.placeholderTitle","e.g. Morning Shift","k.m. Asubuhi Shift"
"companySchedule.placeholderSearchAddress","Search address…","Tafuta anwani..."
"companySchedule.placeholderNotes","Any extra instructions...","Maagizo yoyote ya ziada ..."
"companySchedule.placeholderSearchName","Search by name...","Tafuta kwa jina..."
"companySchedule.placeholderSearchTitleLocation","Search by title or location…","Tafuta kwa kichwa au eneo..."
"companySchedule.alertPermissionDeniedTitle","Permission Denied","Ruhusa Imekataliwa"
"companySchedule.alertPermissionDeniedBody","Location permission is needed to use this feature.","Ruhusa ya eneo inahitajika ili kutumia kipengele hiki."
"companySchedule.alertLocationFetchFailed","Could not fetch your location.","Haikuweza kuleta eneo lako."
"companySchedule.alertValidationTitle","Validation","Uthibitishaji"
"companySchedule.valTitleRequired","Title is required.","Kichwa kinahitajika."
"companySchedule.valLocationRequired","Location is required.","Mahali panahitajika."
"companySchedule.valEmployeeRequired","At least one employee must be assigned.","Angalau mfanyakazi mmoja lazima apewe."
"companySchedule.valEndAfterStart","End time must be after start time.","Wakati wa mwisho lazima uwe baada ya muda wa kuanza."
"companySchedule.alertStatusUpdateFailed","Failed to update status.","Imeshindwa kusasisha hali."
"scheduleScreen.pageTitle","My Schedule","Ratiba Yangu"
"scheduleScreen.statTotal","TOTAL","JUMLA"
"scheduleScreen.statPending","PENDING","INASUBIRI"
"scheduleScreen.statInProgress","IN PROG","IN PROG"
"scheduleScreen.statCompleted","COMPLETED","IMEKAMILIKA"
"scheduleScreen.browseByDate","Browse by Date","Vinjari kwa Tarehe"
"scheduleScreen.tapToFilter","tap a day to filter","gusa siku ili kuchuja"
"scheduleScreen.itemsCount","{{count}} ITEMS","{{count}} VITU"
"scheduleScreen.filterAll","All Items","Vipengee Vyote"
"scheduleScreen.filterPending","Pending","Inasubiri"
"scheduleScreen.filterInProgress","In Progress","Inaendelea"
"scheduleScreen.filterDone","Done","Imekamilika"
"scheduleScreen.loading","Loading your schedule...","Inapakia ratiba yako..."
"scheduleScreen.emptyTitle","No tasks found","Hakuna kazi zilizopatikana"
"scheduleScreen.emptyBody","There are no tasks matching your current filter.","Hakuna kazi zinazolingana na kichujio chako cha sasa."
"scheduleScreen.toastUpdatedTitle","Task Updated","Kazi Imesasishwa"
"scheduleScreen.toastUpdatedBody","Status changed to {{status}}.","Hali imebadilishwa hadi {{status}}."
"scheduleScreen.toastUpdateFailedTitle","Update Failed","Usasishaji Umeshindwa"
"scheduleScreen.toastUpdateFailedBody","Could not save changes.","Haikuweza kuhifadhi mabadiliko."
"scheduleScreen.toastArchivedTitle","Task Archived","Jukumu Limehifadhiwa"
"scheduleScreen.toastArchivedBody","Completed tasks cannot be modified.","Kazi zilizokamilishwa haziwezi kubadilishwa."
"scheduleScreen.statusCompleted","Completed","Imekamilika"
"scheduleScreen.commentsPlaceholder","Add updates or comments here...","Ongeza masasisho au maoni hapa..."
"payslip.title","Payslip","Payslip"
"payslip.netPay","Net pay","Malipo halisi"
"payslip.netLabel","NET","NET"
"payslip.correctionBadge","Correction","Marekebisho"
"payslip.correctionToRun","Correction to Run #{{id}}","Marekebisho ya Kuendesha #{{id}}"
"payslip.adjustmentLabel","ADJUSTMENT","MAREKEBISHO"
"payslip.netAdjustment","Net adjustment","Marekebisho ya wavu"
"payslip.correctionBannerTitle","Correction to your {{period}} payslip","Marekebisho ya {{period}} payslip yako"
"payslip.correctionBannerBody","Amounts below show the change (+/−) from your original payslip, not the full month.","Kiasi kilicho hapa chini kinaonyesha mabadiliko (+/-) kutoka kwa hati yako ya malipo ya awali, si mwezi mzima."
"payslip.correctionReason","Reason","Sababu"
"payslip.downloadCorrection","Download correction note","Pakua dokezo la kusahihisha"
"payslip.gross","Gross","Jumla"
"payslip.taxableIncome","Taxable income","Mapato yanayotozwa ushuru"
"payslip.earnings","Earnings","Mapato"
"payslip.deductions","Deductions","Makato"
"payslip.otherDeductions","Other deductions","Makato mengine"
"payslip.otherAdjustments","Other adjustments","Marekebisho mengine"
"payslip.loanRepayments","Loan repayments","Marejesho ya mkopo"
"payslip.leaveImpact","Leave impact","Acha athari"
"payslip.statutoryEmployee","Statutory deductions (employee)","Makato ya kisheria (mfanyakazi)"
"payslip.statutoryEmployer","Employer contributions","Michango ya mwajiri"
"payslip.downloadPdf","Download PDF","Pakua PDF"
"payslip.vsPeriod","vs {{period}}","dhidi ya {{period}}"
"payslip.raiseQuery","Raise a query about this payslip","Uliza swali kuhusu payslip hii"
"payslip.raiseQueryHint","Something look wrong? Send a question to your employer.","Je! kuna kitu kibaya? Tuma swali kwa mwajiri wako."
"payslip.queryTitle","Query about my {{period}} payslip","Swali kuhusu {{period}} payslip yangu"
"payslip.queryDescription","I have a question about my payslip for {{period}} (run #{{run}}). Net pay: {{net}}, gross: {{gross}}.

My question: ","Nina swali kuhusu payslip yangu ya {{period}} (endesha #{{run}}). Malipo halisi: {{net}}, jumla: {{gross}}.
NL__Swali langu:"
"payslip.leaveBalanceTitle","Leave balance · {{year}}","Acha salio · {{year}}"
"payslip.leaveTakenOfEntitlement","{{taken}} of {{total}} days taken","{{taken}} kati ya siku {{total}} zimechukuliwa"
"payslip.leaveDaysLeft","{{days}} left","{{days}} imesalia"
"payslip.summary","Summary","Muhtasari"
"payslip.yearToDate","Net pay · {{year}}","Malipo halisi · {{year}}"
"payslip.acrossCount","Across {{count}} payslip{{plural}}","Katika {{count}} payslip{{plural}}"
"payslip.runIdLabel","Run #{{id}}","Endesha #{{id}}"
"payslip.loadingPayslips","Loading payslips…","Inapakia hati za malipo..."
"payslip.noPayslips","No payslips yet","Bado hakuna hati za malipo"
"payslip.noPayslipsHint","Your payslips will appear here once your employer finalizes a payroll run.","Hati zako za malipo zitaonekana hapa mara tu mwajiri wako atakapokamilisha malipo ya mishahara."
"payslip.couldNotLoad","Could not load payslips","Haikuweza kupakia hati za malipo"
